Id,Service,Countries,URL,Category,Focus keywords / tags,Genre,Available in countries,Language(s),Supported devices,Business model,Price_Month,Current owner,Nr of subscibers,Head- quarters,Logos
,Netflix,"Australia,Bangladesh,Cambodia,Hong Kong,India,Indonesia,Japan,Laos,Malaysia,Mongolia,Myanmar,Nepal,New Zealand,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam,Albania,Belarus,Bosnia,Bulgaria,Croatia,Cyprus,Czech Republic,Estonia,Greece,Hungary,Latvia,Lithuania,Macedonia,Moldova,Montenegro,Poland,Romania,Russia,Serbia,Slovakia,Slovenia,Ukraine,Argentina,Bolivia,Brazil,Chile,Colombia,Costa Rica,Dominican Republic,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Puerto Rico,Uruguay,Venezuela,Algeria,Armenia,Azerbaijan,Bahrain,Egypt,Georgia,Israel,Jordan,Kazakhstan,Kuwait,Lebanon,Morocco,Oman,Qatar,Saudi Arabia,Syria,Tunisia,Turkey,UAE,Uzbekistan,Canada,USA,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,CAR,Chad,DR Congo,Rep Congo,Cote d'lvoire,Eq. Guinea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Kenya,Liberia,Madagascar,Malawi,Mali,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Sierra Leone,South Africa,Tanzania,Togo,Uganda,Zambia,Zimbabwe,Austria,Belgium,Denmark,Finland,France,Germany,Iceland,Ireland,Italy,Luxembourg,Malta,Netherlands,Norway,Portugal,Spain,Sweden,Switzerland,UK",https://www.netflix.com/,Movies & TV Shows,"award winning TV shows, popular movies of every genre, documentaries, cartoons","Drama, Romance, Comedy, Comedy-Drama, Historical drama, Thriller, Horror, Fantasy, Buddy cop, Crime film, Science fiction, Action, Music, Mistery, Psychological thriller, War, Romantic comedy",I have the location info,"English, Espanol, Dansk, Bahasa Indonesia, Cheshtina, Deutsch, French, Italiano, Magyar, Nederlands, Nederlands, Norsk Bokmal, Polski, Portugues, Romana, Suomi, Svenska, Tieng Viet, Turkish, Greek, Chineese, Japanese, Indian etc.","Smartphones, Apple TV, Android TV, Roku, Chromecast, Amazon Fire",sVOD,"Basic plan $8.99, Standard plan $12.99, Premium $15.99.","Wilmot Reed Hastings Jr",169 million (paid),"Los Gatos, California, United States",https://i.imgur.com/J1Xw5Zv.png
,Youku Tudou,China,https://www.youku.com/,Movies & TV Shows,"drama, variety, chinese movie, anime, cartoons, documentaries, education, finance, sports","Drama, Variety, Chinesse movie, Anime, Cartoons, Documentaries, Sports",I have the location info,Traditional Chinese,"WiFi Router, Smart TV, Android Tabled, Smartphones",sVOD,$3 per month,Alibaba Group,30 million,"Beijing, China",-
,Ivi,Russia,https://www.ivi.tv/,Movies & TV Shows,"movies of almost every genre and oscar nominees, popular TV shows, cartoons for adults and children and music videos","Arthouse, Militants, Military, Detectives, Family, Children, Documentary, Drama, Historical, Comedy, Crime, Melodrama, Adventure, Thrillers, Horror, Fantasy",I have the location info,Russian,"Smartphones and tablets, Smart TVs",sVOD,4.99 € per month,"ru-Net Holdings Limited, Baring Vostok Capital Partners, ProfMedia, Tiger Global, Frontier Ventures and Oleg Tumanov",19 million unique visitors per month,"Moscow, Russia",-
,Amazon Prime Video,"Australia,Bangladesh,Cambodia,Hong Kong,India,Indonesia,Japan,Laos,Malaysia,Mongolia,Myanmar,Nepal,New Zealand,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam,Albania,Belarus,Bosnia,Bulgaria,Croatia,Cyprus,Czech Republic,Estonia,Greece,Hungary,Latvia,Lithuania,Macedonia,Moldova,Montenegro,Poland,Romania,Russia,Serbia,Slovakia,Slovenia,Ukraine,Argentina,Bolivia,Brazil,Chile,Colombia,Costa Rica,Dominican Republic,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Puerto Rico,Uruguay,Venezuela,Algeria,Armenia,Azerbaijan,Bahrain,Egypt,Georgia,Israel,Jordan,Kazakhstan,Kuwait,Lebanon,Morocco,Oman,Qatar,Saudi Arabia,Syria,Tunisia,Turkey,UAE,Uzbekistan,Canada,USA,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,CAR,Chad,DR Congo,Rep Congo,Cote d'lvoire,Eq. Guinea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Kenya,Liberia,Madagascar,Malawi,Mali,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Sierra Leone,South Africa,Tanzania,Togo,Uganda,Zambia,Zimbabwe,Austria,Belgium,Denmark,Finland,France,Germany,Iceland,Ireland,Italy,Luxembourg,Malta,Netherlands,Norway,Portugal,Spain,Sweden,Switzerland,UK",https://www.primevideo.com/,Movies & TV Shows,"popular movies of every genre, popular TV shows","Action & Adventure, Anime & Manga, Arts & Entertainment, Beauty & Fashion, Comedy, Documentary, Drama, Educational, Exercise & Fitness, Faith & Spirituality, Fantasy, Food & Drink, Foreign Films, Gaming, Health, Home & Garden, Horror, Kids & Family, LGBT, Military & War, Music Videos & Concerts, Musicals, Mystery & Thrillers, Performing Arts, Reality TV, Romance, Science Fiction, Soap Operas, Special Interests, Sports, TV Game Shows, TV News Programming, TV Talk Shows, Western",I have the location info,"English, Espanol, Dansk, Bahasa Indonesia, Cheshtina, Deutsch, French, Italiano, Magyar, Nederlands, Nederlands, Norsk Bokmal, Polski, Portugues, Romana, Suomi, Svenska, Tieng Viet, Turkish, Greek, Chineese, Japanese, Indian, Russian etc.","Smartphones and tablets, Smart TVs, Roku, Xbox, Wii, Playstation",sVOD,"first 6 months €2.99, after 6 months €5.99 ",	Amazon Inc.,-,"Seattle, Washington, United States",https://i.imgur.com/mb7sZx5.png
,IQiyi,China,https://www.iqiyi.com/,Movies & TV Shows,"entertainment, information, the film, web movie, TV series, trailer, variety show, talk show","Anime, Game, Funny, Tourism, Music, Fashion, Original, Physical education, Finance, Technology, Know how, Education, Child, Mother and baby, Life, Health, Military car, Public welfare, Documentary, Literature, Comic",I have the location info,Traditional Chinese,-,aVOD,-,Baidu,-,"Beijing, China",https://i.imgur.com/Ooimbg9.png
,Megogo,"Belarus,Russia,Ukraine,Azerbaijan,Georgia,Kazakhstan,Uzbekistan",https://megogo.net/ru,Movies & TV Shows,"TV, movies, TV shows and shows, cartoons, live","Drama, Romance, Comedy, Comedy-Drama, Historical drama, Thriller, Horror, Fantasy, Buddy cop, Crime film, Science fiction, Action, Music, Mistery, Psychological thriller, War, Romantic comedy",I have the location info,"Russian, Ukrainian, Kazakh, Belarusian, Latvian, Lithuanian, Estonian, Georgian, Kyrgyz, Moldovan, English","Apple devices, Smart TVs, Smartphones, Tablets",sVOD,"First month for € 0.05, then € 5.99 / month.",American company FCCE,-,"Kyiv, Ukraine",https://i.imgur.com/HsXBXqh.png
,Stan,"Australia, USA",https://www.stan.com.au/,Movies & TV Shows,"TV shows, , kids, australian content","Action & Adventure, Animation, Australian Cinema, Australian Television, Biographies, British CInema, British Comedy, British Television, Classic, Comedy, Crime, Docudrama, Documentaries, Drama, Entertaiment, Erotic, Family, Fantasy, Foreign Language, Historical Drama, Historical drama, History, Holiday, Horror, Kids, LGBTQI, Medical, Military, Music, Musicals, Mystery, Nature, Paranormal, Politics, Reality, Romance, Romantic Comedy, Romantic comedy, Sci-Fi, Sitcom, Specials, Sport, Stand-up, Thrillers, War, Western, Young Adult, Young Kids",I have the location info,English,"Apple devices, Smart TVs, Smartphones, Tablets, Xbox, Playstation, Computer, Laptop",sVOD,"Basic $10, Standard $14, and Premium $17.",StreamCo (Nine Entertainment Co.),-,"Sydney, New South Wales, Australia",-
,Iflix,"Bangladesh,Cambodia,Indonesia,Malaysia,Myanmar,Nepal,Pakistan,Philippines,Sri Lanka,Thailand,Vietnam,Bahrain,Egypt,Jordan,Kuwait,Lebanon,Morocco,Saudi Arabia,Botswana,Burundi,Ethiopia,Ghana,Kenya,Liberia,Malawi,Nigeria,Rwanda,South Africa,Tanzania,Uganda,Zambia,Zimbabwe",https://www.iflix.com/,Movies & TV Shows,"movies, TV shows, videos","Crime, Romance, Drama, Horror, Hollywood, Bollywood, Chinese, International, 18+, Anime, Comedy, Documentary, Entertainment, Sports",I have the location info,"English, Malaysian, Indonesian, Chinese, Thai, Vietnamese, Tamil,Khmer, Burmese, Arabic, Urdu, Nepali, Bengali, Sinhalese",,sVOD,"30day free trial, then 99 THB per month","Mark Britt, Patrick Grove, Evolution Media Capital",25 million subscribers,"Kuala Lumpur, Malaysia",https://i.imgur.com/ziCXIpa.png
,Tencent Video,China,https://v.qq.com/,Movies & TV Shows,"TV drama, movie theaters, blockbuster home movies, variety, animation, children's puzzle, children's songs, documentary, gourmet Natural","Chinesse TV Series, Chinesse Movie, Variety, Anime, Children, Documentary",I have the location info,simplified Chinese and traditional Chinese,"Smartphones and tablets, Smart TVs",aVOD,-,Tencent,20 million,"Shenzhen, Guangdong.",-
,MyTV Super,Hong Kong,https://www.mytvsuper.com,Movies & TV Shows,"TVB production, TVB premium, myTV SUPER concert, my TV SUPER movies, Mei Ah movies, Golden scene, my TV SUPER Hollywood movies, tvN movies","Asian dramas and Variety shows, Movies, Leisure, Food, Classic movies & dramas, The latest Anime and Sports",I have the location info,"English, Chinese","Apple devices, Smart TVs, Smartphones, Tablets, WiFI router",sVOD,"basic rental fee for the set top box HK$68 ($8.80), minimum monthly charge for the mobile app is HK$38 ($4.90).",TVB,5 million,"77 Chun Choi Street, Tseung Kwan O Industrial Estate, New Territories, Hong Kong",-
